TIME ms, IN1, IN2
4.492, 0.012695, 1.262207
4.443, 0.012695, 2.590332
4.395, 0.012817, 3.674316
4.346, 0.012939, 4.405518
4.297, 0.012695, 4.719238
4.248, 0.012939, 4.58252
4.199, 0.012695, 4.01001
4.15, 0.012573, 3.054199
4.102, 0.012573, 1.807861
4.053, 0.013062, 0.384521
4.004, 0.012573, -0.83374
3.955, 0.012573, -2.22168
3.906, 0.012939, -3.4021
3.857, 0.012451, -4.261475
3.809, 0.012817, -4.72168
3.76, 0.012573, -4.73877
3.711, 0.012695, -4.307861
3.662, 0.012451, -3.4729
3.613, 0.012573, -2.313232
3.564, 0.012817, -0.9375
3.516, 0.012573, 0.523682
3.467, 0.012939, 1.933594
3.418, 0.012817, 3.157959
3.369, 0.012695, 4.082031
3.32, 0.013062, 4.613037
3.271, 0.012451, 4.710693
3.223, 0.012939, 4.354248
3.174, 0.012817, 3.585205
3.125, 0.012695, 2.474365
3.076, 0.012939, 1.126709
3.027, 0.012695, -0.32959
2.979, 0.012817, -1.759033
2.93, 0.012939, -3.026123
2.881, 0.012939, -4.006348
2.832, 0.012939, -4.614258
2.783, 0.013062, -4.785156
2.734, 0.013062, -4.584961
2.686, 0.012573, -3.947754
2.637, 0.012573, -2.943115
2.588, 0.012817, -1.662598
2.539, 0.012817, -0.227051
2.49, 0.013062, 1.226807
2.441, 0.012939, 2.562256
2.393, 0.012939, 3.649902
2.344, 0.012695, 4.394531
2.295, 0.013306, 4.715576
2.246, 0.012939, 4.591064
2.197, 0.012817, 4.0271
2.148, 0.012817, 3.078613
2.1, 0.012939, 1.838379
2.051, 0.012939, 0.418701
2.002, 0.013062, -1.04126
1.953, 0.013062, -2.407227
1.904, 0.012939, -3.547363
1.855, 0.013306, -4.355469
1.807, 0.012939, -4.753418
1.758, 0.012695, -4.702148
1.709, 0.013062, -4.216309
1.66, 0.012939, -3.325195
1.611, 0.012939, -2.128906
1.563, 0.012939, -0.731201
1.514, 0.013062, 0.489502
1.465, 0.013306, 1.901855
1.416, 0.012817, 3.132324
1.367, 0.013062, 4.0625
1.318, 0.012817, 4.605713
1.27, 0.012817, 4.711914
1.221, 0.012939, 4.366455
1.172, 0.012939, 3.608398
1.123, 0.012817, 2.503662
1.074, 0.012817, 1.160889
1.025, 0.012817, -0.29541
976.563, 0.012695, -1.728516
927.734, 0.012573, -2.999268
878.906, 0.012939, -3.988037
830.078, 0.012817, -4.602051
781.25, 0.012939, -4.787598
732.422, 0.012817, -4.517822
683.594, 0.012817, -3.825684
634.766, 0.012695, -2.773438
585.938, 0.012939, -1.463623
537.109, 0.012817, -0.01709
488.281, 0.012573, 1.429443
439.453, 0.012695, 2.735596
390.625, 0.012817, 3.780518
341.797, 0.012573, 4.467773
292.969, 0.012817, 4.713135
244.141, 0.012817, 4.599609
195.313, 0.012695, 4.04541
146.484, 0.012695, 3.10791
97.656, 0.012939, 1.870117
48.828, 0.012573, 0.456543
0, 0.012817, -1.005859
-48.828, 0.012939, -2.376709
-97.656, 0.012817, -3.521729
-146.484, 0.012939, -4.3396
-195.313, 0.012939, -4.748535
-244.141, 0.012451, -4.710693
-292.969, 0.013184, -4.229736
-341.797, 0.012817, -3.35083
-390.625, 0.012695, -2.158203
-439.453, 0.012939, -0.765381
-488.281, 0.012817, 0.699463
