TIME ms, IN1, IN2
0, 0.012695, 4.431152
-48.828, 0.012451, 4.724121
-97.656, 0.012939, 4.560547
-146.484, 0.012939, 3.966064
-195.313, 0.012939, 2.991943
-244.141, 0.012573, 1.737061
-292.969, 0.012817, 0.310059
-341.797, 0.012573, -1.148682
-390.625, 0.012817, -2.502441
-439.453, 0.012939, -3.621826
-488.281, 0.012817, -4.399414
-537.109, 0.012817, -4.766846
-585.938, 0.012451, -4.681396
-634.766, 0.012451, -4.161377
-683.594, 0.012695, -3.24707
-732.422, 0.012817, -2.030029
-781.25, 0.012329, -0.621338
-830.078, 0.013062, 0.839844
-878.906, 0.012817, 2.220459
-927.734, 0.012939, 3.38501
-976.563, 0.012817, 4.117432
-1.025, 0.012817, 4.628906
-1.074, 0.012817, 4.700928
-1.123, 0.012573, 4.32373
-1.172, 0.012939, 3.535156
-1.221, 0.012695, 2.409668
-1.27, 0.012695, 1.052246
-1.318, 0.012817, -0.407715
-1.367, 0.012695, -1.831055
-1.416, 0.012695, -3.084717
-1.465, 0.012939, -4.050293
-1.514, 0.013062, -4.633789
-1.563, 0.012817, -4.783936
-1.611, 0.012573, -4.47998
-1.66, 0.012695, -3.757324
-1.709, 0.012817, -2.684326
-1.758, 0.012939, -1.357422
-1.807, 0.012695, 0.092773
-1.855, 0.012817, 1.531982
-1.904, 0.013062, 2.824707
-1.953, 0.012939, 3.842773
-2.002, 0.012939, 4.501953
-2.051, 0.012939, 4.725342
-2.1, 0.012817, 4.504395
-2.148, 0.012573, 3.848877
-2.197, 0.012695, 3.022461
-2.246, 0.012695, 1.768799
-2.295, 0.012817, 0.343018
-2.344, 0.012939, -1.115723
-2.393, 0.012939, -2.473145
-2.441, 0.012817, -3.596191
-2.49, 0.012695, -4.385986
-2.539, 0.012817, -4.763184
-2.588, 0.012695, -4.6875
-2.637, 0.012939, -4.177246
-2.686, 0.012939, -3.271484
-2.734, 0.012695, -2.058105
-2.783, 0.012817, -0.656738
-2.832, 0.012695, 0.806885
-2.881, 0.012695, 2.191162
-2.93, 0.012939, 3.364258
-2.979, 0.013062, 4.215088
-3.027, 0.012817, 4.669189
-3.076, 0.012451, 4.674072
-3.125, 0.012695, 4.23584
-3.174, 0.012939, 3.392334
-3.223, 0.012939, 2.227783
-3.271, 0.012451, 0.849609
-3.32, 0.012695, -0.616455
-3.369, 0.012939, -2.023926
-3.418, 0.012573, -3.05542
-3.467, 0.012573, -4.029541
-3.516, 0.013184, -4.622803
-3.564, 0.012573, -4.783936
-3.613, 0.012695, -4.492188
-3.662, 0.012451, -3.779297
-3.711, 0.012573, -2.711182
-3.76, 0.012451, -1.390381
-3.809, 0.012817, 0.059814
-3.857, 0.012451, 1.501465
-3.906, 0.012573, 2.796631
-3.955, 0.012573, 3.825684
-4.004, 0.012451, 4.490967
-4.053, 0.012695, 4.727783
-4.102, 0.012939, 4.511719
-4.15, 0.012573, 3.869629
-4.199, 0.012695, 2.858887
-4.248, 0.012695, 1.572266
-4.297, 0.013062, 0.133057
-4.346, 0.012573, -1.318359
-4.395, 0.012695, -2.651367
-4.443, 0.012573, -3.73291
-4.492, 0.012695, -4.466553
-4.541, 0.012939, -4.779053
-4.59, 0.012817, -4.643555
-4.639, 0.012817, -4.071045
-4.688, 0.012695, -3.297119
-4.736, 0.012817, -2.093506
-4.785, 0.012939, -0.692139
-4.834, 0.012207, 0.772705
-4.883, 0.013184, 2.156982
-4.932, 0.012695, 3.339844
-4.98, 0.012939, 4.200439
-5.029, 0.012817, 4.660645
-5.078, 0.013062, 4.675293
-5.127, 0.012695, 4.249268
-5.176, 0.013062, 3.414307
-5.225, 0.012939, 2.254639
-5.273, 0.012573, 0.880127
-5.322, 0.012573, -0.581055
-5.371, 0.012939, -1.993408
-5.42, 0.012817, -3.217773
-5.469, 0.012939, -4.140625
-5.518, 0.013184, -4.676514
-5.566, 0.012573, -4.769287
-5.615, 0.012817, -4.416504
-5.664, 0.012939, -3.64624
-5.713, 0.012939, -2.537842
-5.762, 0.013062, -1.188965
-5.811, 0.012573, 0.269775
-5.859, 0.013062, 1.697998
-5.908, 0.013062, 2.766113
-5.957, 0.013062, 3.804932
-6.006, 0.013062, 4.476318
-6.055, 0.012939, 4.725342
-6.104, 0.012939, 4.523926
-6.152, 0.012573, 3.88916
-6.201, 0.013184, 2.883301
-6.25, 0.012573, 1.604004
-6.299, 0.012817, 0.168457
-6.348, 0.012573, -1.2854
-6.396, 0.012695, -2.62207
-6.445, 0.012695, -3.712158
-6.494, 0.012817, -4.454346
-6.543, 0.012573, -4.777832
-6.592, 0.012573, -4.649658
-6.641, 0.012939, -4.090576
-6.689, 0.013062, -3.143311
-6.738, 0.012573, -1.899414
-6.787, 0.012573, -0.482178
-6.836, 0.012573, 0.979004
-6.885, 0.013062, 2.34375
-6.934, 0.012695, 3.482666
-6.982, 0.012817, 4.291992
-7.031, 0.012817, 4.689941
-7.08, 0.012817, 4.644775
-7.129, 0.012695, 4.263916
-7.178, 0.013062, 3.439941
-7.227, 0.012695, 2.287598
-7.275, 0.012695, 0.915527
-7.324, 0.012817, -0.546875
-7.373, 0.012573, -1.960449
-7.422, 0.012695, -3.190918
-7.471, 0.012695, -4.123535
-7.52, 0.012817, -4.666748
-7.568, 0.012817, -4.771729
-7.617, 0.012817, -4.428711
-7.666, 0.012939, -3.666992
-7.715, 0.012695, -2.564697
-7.764, 0.012817, -1.223145
-7.813, 0.012695, 0.235596
-7.861, 0.012573, 1.665039
-7.91, 0.012451, 2.939453
-7.959, 0.012451, 3.92334
-8.008, 0.012939, 4.542236
-8.057, 0.012939, 4.724121
-8.105, 0.012573, 4.46167
-8.154, 0.013062, 3.765869
-8.203, 0.012817, 2.716064
-8.252, 0.012939, 1.405029
-8.301, 0.012939, -0.041504
-8.35, 0.012695, -1.252441
-8.398, 0.013184, -2.593994
-8.447, 0.012573, -3.688965
-8.496, 0.012939, -4.440918
-8.545, 0.012939, -4.77417
-8.594, 0.012695, -4.659424
-8.643, 0.012939, -4.106445
-8.691, 0.012451, -3.167725
-8.74, 0.012939, -1.932373
-8.789, 0.012695, -0.516357
-8.838, 0.012817, 0.946045
-8.887, 0.012939, 2.314453
-8.936, 0.012451, 3.463135
-8.984, 0.012695, 4.277344
-9.033, 0.013062, 4.6875
-9.082, 0.012817, 4.649658
-9.131, 0.012695, 4.172363
-9.18, 0.012451, 3.293457
-9.229, 0.012695, 2.102051
-9.277, 0.012573, 0.708008
-9.326, 0.012573, -0.755615
-9.375, 0.012573, -2.1521
-9.424, 0.012939, -3.344727
-9.473, 0.012573, -4.226074
-9.521, 0.012817, -4.708252
-9.57, 0.013062, -4.752197
-9.619, 0.012451, -4.440918
-9.668, 0.012695, -3.691406
-9.717, 0.012817, -2.595215
-9.766, 0.012939, -1.254883
-9.814, 0.012817, 0.198975
-9.863, 0.012573, 1.633301
-9.912, 0.013062, 2.907715
-9.961, 0.012939, 3.90625
-10.01, 0.012939, 4.53125
-10.059, 0.013062, 4.727783
-10.107, 0.012817, 4.471436
-10.156, 0.012573, 3.787842
-10.205, 0.012939, 2.744141
-10.254, 0.013062, 1.437988
-10.303, 0.012817, -0.007324
-10.352, 0.012817, -1.453857
-10.4, 0.012695, -2.767334
-10.449, 0.012817, -3.81958
-10.498, 0.012817, -4.515381
-10.547, 0.012817, -4.786377
-10.596, 0.012573, -4.606934
-10.645, 0.012573, -3.99292
-10.693, 0.012451, -3.007812
-10.742, 0.012329, -1.73584
-10.791, 0.012451, -0.306396
-10.84, 0.012695, 0.910645
-10.889, 0.012695, 2.283936
-10.938, 0.012939, 3.438721
-10.986, 0.012695, 4.263916
-11.035, 0.012695, 4.682617
-11.084, 0.012695, 4.654541
-11.133, 0.012573, 4.188232
-11.182, 0.012451, 3.319092
-11.23, 0.012451, 2.133789
-11.279, 0.012695, 0.742188
-11.328, 0.012573, -0.721436
-11.377, 0.012451, -2.11792
-11.426, 0.012573, -3.320312
-11.475, 0.012695, -4.210205
-11.523, 0.012695, -4.70459
-11.572, 0.012817, -4.754639
-11.621, 0.012695, -4.359131
-11.67, 0.012817, -3.554688
-11.719, 0.012573, -2.415771
-11.768, 0.012451, -1.049805
-11.816, 0.012817, 0.408936
-11.865, 0.012207, 1.831055
-11.914, 0.012329, 3.071289
-11.963, 0.012695, 4.020996
-12.012, 0.012939, 4.584961
-12.061, 0.012817, 4.726562
-12.109, 0.012695, 4.47998
-12.158, 0.012695, 3.809814
-12.207, 0.012573, 2.773438
-12.256, 0.012817, 1.470947
-12.305, 0.012451, 0.028076
-12.354, 0.012695, -1.420898
-12.402, 0.012573, -2.739258
-12.451, 0.012695, -3.800049
-12.5, 0.012817, -4.503174
-12.549, 0.012451, -4.785156
-12.598, 0.012573, -4.614258
-12.646, 0.012695, -4.014893
-12.695, 0.012573, -3.033447
-12.744, 0.012573, -1.77002
-12.793, 0.012695, -0.340576
-12.842, 0.012573, 1.116943
-12.891, 0.012817, 2.4646
-12.939, 0.012695, 3.57666
-12.988, 0.012817, 4.349365
-13.037, 0.013062, 4.70459
-13.086, 0.012207, 4.61792
-13.135, 0.012451, 4.085693
-13.184, 0.012207, 3.166504
-13.232, 0.012573, 1.943359
-13.281, 0.012451, 0.534668
-13.33, 0.012451, -0.686035
