Model,DPO4054B
Firmware Version,3.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.00088
Sample Interval,1e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,0
,
,
,
Label,
TIME,CH1
-4.057e-02,0.08
-4.056e-02,0.12
-4.055e-02,0.12
-4.054e-02,0.12
-4.053e-02,0.12
-4.052e-02,0.12
-4.051e-02,0.12
-4.050e-02,0.12
-4.049e-02,0.12
-4.048e-02,0.1
-4.047e-02,0.12
-4.046e-02,0.12
-4.045e-02,0.12
-4.044e-02,0.12
-4.043e-02,0.12
-4.042e-02,0.12
-4.041e-02,0.12
-4.040e-02,0.12
-4.039e-02,0.12
-4.038e-02,0.08
-4.037e-02,0.1
-4.036e-02,0.12
-4.035e-02,0.12
-4.034e-02,0.12
-4.033e-02,0.12
-4.032e-02,0.12
-4.031e-02,0.12
-4.030e-02,0.48
-4.029e-02,0.46
-4.028e-02,0.46
-4.027e-02,0.48
-4.026e-02,0.5
-4.025e-02,0.5
-4.024e-02,0.5
-4.023e-02,0.5
-4.022e-02,0.48
-4.021e-02,0.5
-4.020e-02,0.5
-4.019e-02,0.48
-4.018e-02,0.48
-4.017e-02,0.48
-4.016e-02,0.48
-4.015e-02,0.48
-4.014e-02,0.48
-4.013e-02,0.5
-4.012e-02,0.48
-4.011e-02,0.46
-4.010e-02,0.48
-4.009e-02,0.48
-4.008e-02,0.48
-4.007e-02,0.5
-4.006e-02,0.48
-4.005e-02,0.5
-4.004e-02,0.5
-4.003e-02,0.48
-4.002e-02,0.5
-4.001e-02,0.5
-4.000e-02,0.48
-3.999e-02,0.5
-3.998e-02,0.48
-3.997e-02,0.48
-3.996e-02,0.5
-3.995e-02,0.48
-3.994e-02,0.5
-3.993e-02,0.5
-3.992e-02,0.48
-3.991e-02,0.5
-3.990e-02,0.48
-3.989e-02,0.48
-3.988e-02,0.48
-3.987e-02,0.48
-3.986e-02,0.48
-3.985e-02,0.5
-3.984e-02,0.48
-3.983e-02,0.5
-3.982e-02,0.48
-3.981e-02,0.46
-3.980e-02,0.5
-3.979e-02,0.48
-3.978e-02,0.5
-3.977e-02,0.5
-3.976e-02,0.5
-3.975e-02,0.48
-3.974e-02,0.5
-3.973e-02,0.48
-3.972e-02,0.46
-3.971e-02,0.5
-3.970e-02,0.48
-3.969e-02,0.46
-3.968e-02,0.48
-3.967e-02,0.46
-3.966e-02,0.5
-3.965e-02,0.5
-3.964e-02,0.46
-3.963e-02,0.48
-3.962e-02,0.48
-3.961e-02,0.5
-3.960e-02,0.5
-3.959e-02,0.48
-3.958e-02,0.5
-3.957e-02,0.48
-3.956e-02,0.48
